station,component,PGA,PGV,CAV,AI,Ds575,Ds595,MMI,pSA_0.02,pSA_0.05,pSA_0.1,pSA_0.2,pSA_0.3,pSA_0.4,pSA_0.5,pSA_0.75,pSA_1.0,pSA_2.0,pSA_3.0,pSA_4.0,pSA_5.0,pSA_7.5,pSA_10.0
002A,geom,0.015309673734009266,10.765315055847168,0.15406707705131387,1.1064170494128667,17.267293119398744,21.942219087344295,6.128311634063721,0.015360550202608318,0.015820344080619143,0.01765745949414794,0.022254175300268315,0.025139458313944228,0.03450143505956115,0.02901940364740436,0.029390141783190667,0.031224799927065623,0.014247253582363858,0.013960134980622256,0.016834721123845413,0.024072929213845698,0.032592801912920785,0.016886075740480216
003A,geom,0.02201976627111435,14.811020851135254,0.23223132805960653,2.2492028744880206,20.778102793570547,26.647119323811392,6.567147254943848,0.02204837217559444,0.022472413140391084,0.026380645865731578,0.04552367834194008,0.04078411013843694,0.05224991626895062,0.05313845633659814,0.05122973361582714,0.03786362078799235,0.021384784725988072,0.019731874621530844,0.02566511291429335,0.03965917065701197,0.04178291928016808,0.01882629606072291
010009e,geom,0.07682144641876221,13.791329383850098,0.2748667680564303,9.442155808333096,6.0370645491604735,9.028990605580033,6.490488529205322,0.0771667231326127,0.08407890485627681,0.11242524399035121,0.1780172813127638,0.15461913081005624,0.1879881469609429,0.12834650712849266,0.13849276884962297,0.12331862471946568,0.06223393399745724,0.04748523568862553,0.02814053083391445,0.02477251701589663,0.026256601139203303,0.013240824249251083
010009f,geom,0.07479065656661987,15.507948875427246,0.2602249826956225,7.772756093284845,6.197378339511876,9.78623245783237,6.6519293785095215,0.07568691177968524,0.08568051379356953,0.1063786569883461,0.17485491976537465,0.18006382547428154,0.15368878982000866,0.15420800500169785,0.12562716092240575,0.10958698259731338,0.053387506636265646,0.035034188900605744,0.0345777556101621,0.029827483393232004,0.03335557686803365,0.017302379773465687
01000a0,geom,0.07385899126529694,20.713817596435547,0.2858474935281257,9.149985879494945,6.795445013807352,10.715957487160017,7.0486016273498535,0.07468465705729523,0.08114519765835763,0.11748327596465992,0.13209546346177845,0.15850667979406996,0.15932827171415703,0.18086538410996678,0.14728292860282838,0.10450628823112501,0.050583686958213914,0.03615278366567889,0.035892762635974136,0.04020237953835925,0.039349131110492035,0.021275113311023015
01000a1,geom,0.05829605460166931,18.10113525390625,0.2842965202931972,7.876975473003933,7.95469654803304,12.173717319494923,6.8564348220825195,0.058841137397992925,0.06337375781813202,0.090664062151931,0.13299476178766123,0.1625704861042795,0.1426386414088654,0.17794247321583714,0.13280233641780276,0.08461580659088243,0.04778990754684444,0.026309476228528268,0.044812137646991795,0.04659204978747292,0.03846484968896107,0.024160563262323652
01000a2,geom,0.06166771799325943,17.567852020263672,0.2793465957906689,7.773602487008666,8.358115629560267,12.237456570113507,6.810917854309082,0.06190922041277032,0.0627563641595661,0.08420143212100803,0.1210912901642701,0.1352897535942831,0.12754172111159087,0.20281925357416694,0.1095771624886136,0.07080250913047827,0.050270476885763846,0.04165055207560484,0.047966242419569476,0.04415528222685283,0.036488154879482114,0.024671539062384406
01000a3,geom,0.053920648992061615,15.7057523727417,0.24835585348844186,6.248189511696443,8.563835105925321,12.202253617421452,6.652639865875244,0.054037196099548435,0.060599333198433684,0.07872824899491093,0.10614380343232845,0.11016127314880535,0.11354249878254999,0.14322212111635707,0.1263835248446955,0.09581089714399371,0.04745938083735777,0.04084768554969063,0.04151924762454883,0.04317214430901785,0.03327343539681727,0.023630574961536147
01000a4,geom,0.04446212202310562,13.995278358459473,0.2174715827262694,4.2770313919741785,9.247346710124589,13.424834894450699,6.494069576263428,0.044939647164278236,0.050310486963326836,0.06016353053004321,0.09267413214331861,0.09782281465436854,0.08250022968850436,0.08886902342178304,0.10786862687257767,0.06623331982200986,0.0336347919968239,0.02383790200325976,0.04003755807575162,0.0365948785368945,0.030618042903736584,0.023667631505519572
01000a5,geom,0.04342462867498398,15.58337688446045,0.2111554212762969,4.050020637693546,8.716746618053921,12.648690360978788,6.648695468902588,0.04354526475065384,0.045862274831337174,0.05603853517461218,0.09585087620827476,0.10047362823694574,0.07767849686511696,0.07326834164388943,0.10086421296774302,0.0958158009872254,0.05481376282616963,0.03130314812086586,0.025592414329119847,0.02715183061826952,0.027702373829429364,0.02175054960067233
